SCEDTimestamp,RepeatedHourFlag,ElectricalBus,LMP
01/19/2016 09:55:12,N,ANNA_RC_L_A,       16.48
01/19/2016 09:55:12,N,ANNA_RC_L_B,       16.48
01/19/2016 09:55:12,N,ANNA_ST_L_A,       17.37
01/19/2016 09:55:12,N,ANNA_ST_L_B,       17.37
01/19/2016 09:55:12,N,ANPOI_EB1,       16.56
01/19/2016 09:55:12,N,ANSN_L_A,       16.52
01/19/2016 09:55:12,N,ANSN_V_A,       16.52
01/19/2016 09:55:12,N,ANSO_L_A,       16.52
01/19/2016 09:55:12,N,ANTLP_1,       16.30
01/19/2016 09:55:12,N,ANTLP_2,       16.30
01/19/2016 09:55:12,N,ANTLP_3,       16.30
01/19/2016 09:55:12,N,AN_K,       16.30
01/19/2016 09:55:12,N,AN_KA,       16.30
01/19/2016 09:55:12,N,AN_KI,       16.30
01/19/2016 09:55:12,N,APACHE_6388,       16.30
01/19/2016 09:55:12,N,APACHE_6389,       16.30
01/19/2016 09:55:12,N,APOLLO,       16.47
01/19/2016 09:55:12,N,APOLLO_69,       16.47
01/19/2016 09:55:12,N,APOLLO_T1,       16.47
01/19/2016 09:55:12,N,APOLLO_T2,       16.47
01/19/2016 09:55:12,N,ARANSAS_AG1,       14.75
01/19/2016 09:55:12,N,ARANSAS_AG2,       14.75
01/19/2016 09:55:12,N,ARCADIA_BUS2,       14.54
01/19/2016 09:55:12,N,ARCADIA_LD1,       14.54
01/19/2016 09:55:12,N,ARCADIA_L_A,       14.54
01/19/2016 09:55:12,N,ARCADIA_V_A,       14.54
01/19/2016 09:55:12,N,ARCHCITY_9X,       16.50
01/19/2016 09:55:12,N,ARCO1_8T,       16.48
01/19/2016 09:55:12,N,ARCO1_8V,       16.48
01/19/2016 09:55:12,N,ARCOCRN_8,       16.59
01/19/2016 09:55:12,N,ARCOCRN_8Y,       16.59
01/19/2016 09:55:12,N,ARCOCRN_8Z,       16.59
